Level	Date and Time	Source	Event ID	Task Category
Information	4/22/2019 7:35:39 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: 程序在此设备上找不到恶意软件和其他可能不需要的软件。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:35:38 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:35:38 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Clean
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: 程序在此设备上找不到恶意软件和其他可能不需要的软件。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:35:38 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: 操作成功完成。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:54 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:53 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:53 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:34:53 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Clean
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: 操作成功完成。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:24 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:34:04 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: 程序在此设备上找不到恶意软件和其他可能不需要的软件。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:03 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.TemporaryItems.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:34:02 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:34:02 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: 操作成功完成。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:33:44 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:33:14 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:33:14 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:33:13 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Clean
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: 操作成功完成。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:32:19 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: 程序在此设备上找不到恶意软件和其他可能不需要的软件。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:32:19 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Virus:Win32/Ramnit.A!remnants&threatid=2147644175&enterprise=0
 	Name: Virus:Win32/Ramnit.A!remnants
 	ID: 2147644175
 	Severity: 严重
 	Category: 病毒
 	Path: file:_E:\.Spotlight-V100.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: Real-Time Protection
 	User: MINGWIN\Doraeming
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:32:18 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Information	4/22/2019 7:32:18 PM	Microsoft-Windows-Windows Defender	1117	None	"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: 操作成功完成。 
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:32:01 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:31:32 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: C:\Windows\explorer.exe
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
Warning	4/22/2019 7:31:31 PM	Microsoft-Windows-Windows Defender	1116	None	"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Aenjaris.CP!bit&threatid=2147727101&enterprise=0
 	Name: Trojan:Win32/Aenjaris.CP!bit
 	ID: 2147727101
 	Severity: 严重
 	Category: 特洛伊木马
 	Path: file:_E:\.fseventsd.exe
 	Detection Origin: Local machine
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Signature Version: AV: 1.291.2453.0, AS: 1.291.2453.0, NIS: 1.291.2453.0
 	Engine Version: AM: 1.1.15800.1, NIS: 1.1.15800.1"
